name,state,state_code,type,degree_length,cost_type,in_state,AY2017,AY2016,AY2015,AY2014,AY2013,AY2012,AY2011,AY2010,AY2009
Seattle Pacific University,Washington,WA,Private,4 Year,total,in,56485,54951,51552,49604,47674,45447,43195,41567,40143
Seattle Pacific University,Washington,WA,Private,4 Year,total,out,56485,54951,51552,49604,47674,45447,43195,41567,40143
Seattle Pacific University,Washington,WA,Private,4 Year,tuition,in,40893,38940,37086,35472,33813,32067,30339,28965,27810
Seattle University,Washington,WA,Private,4 Year,total,in,59607,58434,56481,54705,52605,50610,47853,45462,43498
Seattle University,Washington,WA,Private,4 Year,total,out,59607,58434,56481,54705,52605,50610,47853,45462,43498
Seattle University,Washington,WA,Private,4 Year,tuition,in,42885,41265,39690,38205,36465,34800,32700,30825,29340
Seminole State College,Oklahoma,OK,Public,2 Year,total,in,18530,18230,17678,17100,16725,16330,17381,17150,16798
Seminole State College,Oklahoma,OK,Public,2 Year,total,out,24470,23825,22838,22020,21375,20860,21775,21170,20614
Seminole State College,Oklahoma,OK,Public,2 Year,tuition,in,4440,4140,3808,3630,3425,3330,3231,3000,2848
Seton Hall University,New Jersey,NJ,Private,4 Year,total,in,57090,55366,53294,51780,50318,48526,49544,47618,45484
Seton Hall University,New Jersey,NJ,Private,4 Year,total,out,57090,55366,53294,51780,50318,48526,49544,47618,45484
Seton Hall University,New Jersey,NJ,Private,4 Year,tuition,in,40588,39258,38072,36926,35820,34750,33490,31890,30470
Seton Hill University,Pennsylvania,PA,Private,4 Year,total,in,49896,48470,46732,45456,43900,42010,41556,39858,38672
Seton Hill University,Pennsylvania,PA,Private,4 Year,total,out,49896,48470,46732,45456,43900,42010,41556,39858,38672
Seton Hill University,Pennsylvania,PA,Private,4 Year,tuition,in,34660,33520,32420,31280,30300,29050,28354,27548,26622
Seward County Community College,Kansas,KS,Public,2 Year,total,in,12628,12306,12015,11755,11966,11723,10544,10480,10384
Seward County Community College,Kansas,KS,Public,2 Year,total,out,13812,13394,13103,12843,13118,12715,11440,11376,11120
Seward County Community College,Kansas,KS,Public,2 Year,tuition,in,3040,2976,2816,2656,2432,2368,2144,2080,1984
Shasta Bible College and Graduate School,California,CA,Private,4 Year,total,in,25900,25900,25900,27100,22700,26400,26222,26032,22852
Shasta Bible College and Graduate School,California,CA,Private,4 Year,total,out,25900,25900,25900,27100,22700,26400,26222,26032,22852
Shasta Bible College and Graduate School,California,CA,Private,4 Year,tuition,in,12060,12060,12060,11160,10360,10360,10320,10220,9340
Shasta College,California,CA,Public,2 Year,total,in,11397,11625,11625,11023,11383,11383,10940,11248,10837
Shasta College,California,CA,Public,2 Year,total,out,17013,16761,16665,16063,16423,16423,15716,16024,15469
Shasta College,California,CA,Public,2 Year,tuition,in,1185,1183,1183,1183,1183,1183,820,699,699
Shaw University,North Carolina,NC,Private,4 Year,total,in,29378,29478,29478,29378,29378,26998,25526,24474,23436
Shaw University,North Carolina,NC,Private,4 Year,total,out,29378,29478,29478,29378,29378,26998,25526,24474,23436
Shaw University,North Carolina,NC,Private,4 Year,tuition,in,16480,16580,16580,16480,16480,14414,13226,12580,11696
Shawnee State University,Ohio,OH,Public,4 Year,total,in,20910,22011,22132,21858,21451,20748,20066,19462,18350
Shawnee State University,Ohio,OH,Public,4 Year,total,out,26718,28791,27529,27111,26565,25723,24872,24106,22694
Shawnee State University,Ohio,OH,Public,4 Year,tuition,in,7439,7365,7364,7364,7177,6988,6762,6546,6132
